가능,녹양,의정부,
가산디지털단지,구로,독산,
간석,동암,주안,
개봉,구일,오류동,
관악,석수,안양,
광명,금천구청,,
광운대,월계,석계,
구로,신도림,구일,가산디지털단지
구일,구로,개봉,
군포,금정,당정,
금정,명학,군포,
금천구청,독산,광명,석수
남영,서울역,용산,
노량진,용산,대방,
녹양,가능,양주,
녹천,창동,월계,
당정,군포,의왕,
대방,노량진,신길,
덕계,덕정,양주,
덕정,지행,덕계,
도봉,도봉산,방학,
도봉산,망월사,도봉,
도원,제물포,동인천,
도화,주안,제물포,
독산,가산디지털단지,금천구청,
동대문,동묘앞,종로5가,
동두천,소요산,보산,
동두천중앙,보산,지행,
동묘앞,신설동,동대문,
동암,백운,간석,
동인천,도원,인천,
두정,직산,천안,
망월사,회룡,도봉산,
명학,안양,금정,
방학,도봉,창동,
배방,아산,온양온천,
백운,부평,동암,
병점,세류,서동탄,세마
보산,동두천,동두천중앙,
봉명,천안,쌍용,
부개,송내,부평,
부천,소사,중동,
부평,부개,백운,
서동탄,병점,,
서울역,시청,남영,
서정리,송탄,지제,
석계,광운대,신이문,
석수,금천구청,관악,
성균관대,의왕,화서,
성환,평택,직산,
세류,수원,병점,
세마,병점,오산대,
소사,역곡,부천,
소요산,동두천,,
송내,중동,부개,
송탄,진위,서정리,
수원,화서,세류,
시청,종각,서울역,
신길,대방,영등포,
신도림,영등포,구로,
신설동,제기동,동묘앞,
신이문,석계,외대앞,
신창,온양온천,,
쌍용,봉명,아산,
아산,쌍용,배방,
안양,관악,명학,
양주,덕계,녹양,
역곡,온수,소사,
영등포,신길,신도림,
오류동,개봉,온수,
오산,오산대,진위,
오산대,세마,오산,
온수,오류동,역곡,
온양온천,배방,신창,
외대앞,신이문,회기,
용산,남영,노량진,
월계,녹천,광운대,
의왕,당정,성균관대,
의정부,가능,회룡,
인천,동인천,,
제기동,청량리,신설동,
제물포,도화,도원,
종각,종로3가,시청,
종로3가,종로5가,종각,
종로5가,동대문,종로3가,
주안,간석,도화,
중동,부천,송내,
지제,서정리,평택,
지행,동두천중앙,덕정,
직산,성환,두정,
진위,오산대,송탄,
창동,방학,녹천,
천안,두정,봉명,
청량리,회기,제기동,
평택,지제,성환,
화서,성균관대,수원,
회기,외대앞,청량리,
회룡,의정부,망월사,
강남,교대,역삼,
강변,구의,잠실나루,
건대입구,성수,구의,
교대,강남,서초,
구로디지털단지,대림,신대방,
구의,건대입구,강변,
까치산,신정네거리,,
낙성대,사당,서울대입구,
당산,합정,영등포구청,
대림,신도림,구로디지털단지,
도림천,신도림,양천구청,
동대문역사문화공원,을지로4가,신당,
뚝섬,한양대,성수,
문래,영등포구청,신도림,
방배,서초,사당,
봉천,서울대입구,신림,
사당,방배,낙성대,
삼성,종합운동장,선릉,
상왕십리,신당,왕십리,
서울대입구,낙성대,봉천,
서초,교대,방배,
선릉,삼성,역삼,
성수,뚝섬,건대입구,용답
시청,을지로입구,충정로,
신답,용두,용답,
신당,상왕십리,동대문역사문화공원,
신대방,신림,구로디지털단지,
신도림,문래,도림천,대림
신림,봉천,신대방,
신설동,용두,,
신정네거리,까치산,양천구청,
신촌,이대,홍대입구,
아현,충정로,이대,
양천구청,도림천,신정네거리,
역삼,강남,선릉,
영등포구청,당산,문래,
왕십리,상왕십리,한양대,
용답,신답,성수,
용두,신설동,신답,
을지로3가,을지로4가,을지로입구,
을지로4가,을지로3가,동대문역사문화공원,
을지로입구,을지로3가,시청,
이대,아현,신촌,
잠실,잠실나루,잠실새내,
잠실나루,강변,잠실,
잠실새내,잠실나루,종합운동장,
종합운동장,잠실새내,삼성,
충정로,시청,아현,
한양대,왕십리,뚝섬,
합정,홍대입구,당산,
홍대입구,신촌,합정,
가락시장,수서,경찰병원,
경복궁,독립문,안국,
경찰병원,가락시장,오금,
고속터미널,잠원,교대,
교대,고속터미널,남부터미널,
구파발,지축,연신내,
금호,약수,옥수,
남부터미널,교대,양재,
녹번,불광,홍제,
대곡,백석,화정,
대청,학여울,일원,
대치,도곡,학여울,
대화,주엽,,
도곡,매봉,대치,
독립문,무악재,경복궁,
동대입구,충무로,약수,
마두,정발산,백석,
매봉,양재,도곡,
무악재,홍제,독립문,
백석,마두,대곡,
불광,연신내,녹번,
삼송,원흥,지축,
수서,일원,가락시장,
신사,압구정,잠원,
안국,경복궁,종로3가,
압구정,옥수,신사,
약수,동대입구,금호,
양재,남부터미널,매봉,
연신내,구파발,불광,
오금,경찰병원,,
옥수,금호,압구정,
원당,화정,원흥,
원흥,삼송,지축,
을지로3가,종로3가,충무로,
일원,대청,수서,
잠원,신사,고속터미널,
정발산,주엽,마두,
종로3가,안국,을지로3가,
주엽,대화,정발산,
지축,삼송,구파발,
충무로,을지로3가,동대입구,
학여울,대치,대청,
홍제,녹번,무악재,
화정,대곡,원당,
경마공원,선바위,대공원,
고잔,중앙,초지,
과천,대공원,정부과천청사,
금정,범계,산본,
길음,미아사거리,성신여대입구,
남태령,사당,선바위,
노원,상계,창동,
당고개,상계,,
대공원,경마공원,과천,
대야미,수리산,반월,
동대문,혜화,동대문역사문화공원,
동대문역사문화공원,동대문,충무로,
동작,이촌,총신대입구,
명동,충무로,회현,
미아,수유,미아사거리,
미아사거리,미아,길음,
반월,대야미,상록수,
범계,평촌,금정,
사당,총신대입구,남태령,
산본,금정,수리산,
삼각지,숙대입구,신용산,
상계,노원,당고개,
상록수,반월,한대앞,
서울역,회현,숙대입구,
선바위,남태령,경마공원,
성신여대입구,길음,한성대입구,
수리산,산본,대야미,
수유,쌍문,미아사거리,
숙대입구,서울역,삼각지,
신길온천,안산,정왕,
신용산,삼각지,이촌,
쌍문,창동,수유,
안산,초지,신길온천,
오이도,정왕,,
이촌,신용산,동작,
인덕원,정부과천청사,평촌,
정부과천청사,과천,인덕원,
정왕,신길온천,오이도,
중앙,한대앞,고잔,
